name,status,vanilla,resolved,applied
default_acacia_tree.png,manual,log_acacia.png,blocks/log_acacia.png,
default_acacia_tree_top.png,manual,log_acacia_top.png,blocks/log_acacia_top.png,
default_acacia_wood.png,manual,log_acacia.png,blocks/log_acacia.png,
default_clay_brick.png,manual,items/brick.png,,
default_clay_lump.png,manual,clay_ball.png,items/clay_ball.png,
default_coal_lump.png,manual,coal.png,items/coal.png,
default_cobble.png,manual,cobblestone.png,blocks/cobblestone.png,
default_diamond.png,manual,diamond.png,items/diamond.png,
default_diamond_block.png,manual,diamond_block.png,blocks/diamond_block.png,
default_dry_shrub.png,manual,deadbush.png,blocks/deadbush.png,
default_furnace_bottom.png,manual,furnace_top.png,blocks/furnace_top.png,
default_furnace_front.png,manual,furnace_front_off.png,blocks/furnace_front_off.png,
default_furnace_front_active.png,manual,furnace_front_on.png,blocks/furnace_front_on.png,
default_glass_detail.png,manual,glass.png,blocks/glass.png,
default_jungleleaves.png,manual,leaves_jungle.png,blocks/leaves_jungle.png,
default_junglesapling.png,manual,sapling_jungle.png,blocks/sapling_jungle.png,
default_jungletree.png,manual,log_jungle.png,blocks/log_jungle.png,
default_jungletree_top.png,manual,log_jungle_top.png,blocks/log_jungle_top.png,
default_junglewood.png,manual,log_jungle.png,blocks/log_jungle.png,
default_lava_flowing_animated.png,manual,lava_flow.png,blocks/lava_flow.png,
default_lava_source_animated.png,manual,lava_still.png,blocks/lava_still.png,
default_leaves.png,manual,leaves_oak.png,blocks/leaves_oak.png,
default_mossycobble.png,manual,cobblestone_mossy.png,blocks/cobblestone_mossy.png,
default_rail.png,manual,rail_normal.png,blocks/rail_normal.png,
default_rail_crossing.png,manual,rail_normal.png,blocks/rail_normal.png,
default_rail_curved.png,manual,rail_normal_turned.png,blocks/rail_normal_turned.png,
default_rail_t_junction.png,manual,rail_normal.png,blocks/rail_normal.png,
default_river_water_flowing_animated.png,manual,water_flow.png,blocks/water_flow.png,
default_river_water_source_animated.png,manual,water_still.png,blocks/water_still.png,
default_sapling.png,manual,sapling_oak.png,blocks/sapling_oak.png,
default_snow.png,manual,snow.png,blocks/snow.png,
default_steel_block.png,manual,iron_block.png,blocks/iron_block.png,
default_steel_ingot.png,manual,iron_ingot.png,items/iron_ingot.png,
default_stone_brick.png,manual,stonebrick.png,blocks/stonebrick.png,
default_tnt_bottom.png,manual,tnt_bottom.png,blocks/tnt_bottom.png,
default_tnt_side.png,manual,tnt_side.png,blocks/tnt_side.png,
default_tnt_top.png,manual,tnt_top.png,blocks/tnt_top.png,
default_tool_diamondaxe.png,manual,diamond_axe.png,items/diamond_axe.png,
default_tool_diamondpick.png,manual,diamond_pickaxe.png,items/diamond_pickaxe.png,
default_tool_diamondshovel.png,manual,diamond_shovel.png,items/diamond_shovel.png,
default_tool_diamondsword.png,manual,diamond_sword.png,items/diamond_sword.png,
default_tool_goldaxe.png,manual,gold_axe.png,items/gold_axe.png,
default_tool_goldpick.png,manual,gold_pickaxe.png,items/gold_pickaxe.png,
default_tool_goldshovel.png,manual,gold_shovel.png,items/gold_shovel.png,
default_tool_goldsword.png,manual,gold_sword.png,items/gold_sword.png,
default_tool_shears.png,manual,shears.png,items/shears.png,
default_tool_steelaxe.png,manual,iron_axe.png,items/iron_axe.png,
default_tool_steelpick.png,manual,iron_pickaxe.png,items/iron_pickaxe.png,
default_tool_steelshovel.png,manual,iron_shovel.png,items/iron_shovel.png,
default_tool_steelsword.png,manual,iron_sword.png,items/iron_sword.png,
default_tool_stoneaxe.png,manual,stone_axe.png,items/stone_axe.png,
default_tool_stonepick.png,manual,stone_pickaxe.png,items/stone_pickaxe.png,
default_tool_stoneshovel.png,manual,stone_shovel.png,items/stone_shovel.png,
default_tool_stonesword.png,manual,stone_sword.png,items/stone_sword.png,
default_tool_woodaxe.png,manual,wood_axe.png,items/wood_axe.png,
default_tool_woodpick.png,manual,wood_pickaxe.png,items/wood_pickaxe.png,
default_tool_woodshovel.png,manual,wood_shovel.png,items/wood_shovel.png,
default_tool_woodsword.png,manual,wood_sword.png,items/wood_sword.png,
default_torch_on_floor.png,manual,torch_on.png,blocks/torch_on.png,
default_torch_on_floor_animated.png,manual,torch_on.png,blocks/torch_on.png,
default_tree.png,manual,log_oak.png,blocks/log_oak.png,
default_tree_top.png,manual,log_oak_top.png,blocks/log_oak_top.png,
default_water_flowing_animated.png,manual,water_flow.png,blocks/water_flow.png,
default_water_source_animated.png,manual,water_still.png,blocks/water_still.png,
farming_carrot_1.png,manual,carrots_stage_0.png,blocks/carrots_stage_0.png,
farming_carrot_2.png,manual,carrots_stage_1.png,blocks/carrots_stage_1.png,
farming_carrot_3.png,manual,carrots_stage_2.png,blocks/carrots_stage_2.png,
farming_carrot_4.png,manual,carrots_stage_3.png,blocks/carrots_stage_3.png,
farming_carrot_gold.png,manual,carrot_golden.png,items/carrot_golden.png,
farming_pumpkin_face.png,manual,pumpkin_face.png,,
farming_pumpkin_face_light.png,manual,pumpkin_face.png,,
farming_tool_diamondhoe.png,manual,diamond_hoe.png,items/diamond_hoe.png,
farming_tool_goldhoe.png,manual,gold_hoe.png,items/gold_hoe.png,
farming_tool_steelhoe.png,manual,iron_hoe.png,items/iron_hoe.png,
farming_tool_stonehoe.png,manual,stone_hoe.png,items/stone_hoe.png,
farming_tool_woodhoe.png,manual,wood_hoe.png,items/wood_hoe.png,
farming_wheat_harvested.png,manual,wheat.png,items/wheat.png,
mcl_armor_boots_chain.png,manual,chainmail_boots.png,items/chainmail_boots.png,
mcl_armor_boots_diamond.png,manual,diamond_boots.png,items/diamond_boots.png,
mcl_armor_boots_gold.png,manual,gold_boots.png,items/gold_boots.png,
mcl_armor_boots_iron.png,manual,iron_boots.png,items/iron_boots.png,
mcl_armor_boots_leather.png,manual,leather_boots.png,items/leather_boots.png,
mcl_armor_chestplate_chain.png,manual,chainmail_chestplate.png,items/chainmail_chestplate.png,
mcl_armor_chestplate_diamond.png,manual,diamond_chestplate.png,items/diamond_chestplate.png,
mcl_armor_chestplate_gold.png,manual,gold_chestplate.png,items/gold_chestplate.png,
mcl_armor_chestplate_iron.png,manual,iron_chestplate.png,items/iron_chestplate.png,
mcl_armor_chestplate_leather.png,manual,leather_chestplate.png,items/leather_chestplate.png,
mcl_armor_helmet_chain.png,manual,chainmail_helmet.png,items/chainmail_helmet.png,
mcl_armor_helmet_diamond.png,manual,diamond_helmet.png,items/diamond_helmet.png,
mcl_armor_helmet_gold.png,manual,gold_helmet.png,items/gold_helmet.png,
mcl_armor_helmet_iron.png,manual,iron_helmet.png,items/iron_helmet.png,
mcl_armor_helmet_leather.png,manual,leather_helmet.png,items/leather_helmet.png,
mcl_armor_inv_boots_chain.png,manual,chainmail_boots.png,items/chainmail_boots.png,
mcl_armor_inv_boots_diamond.png,manual,diamond_boots.png,items/diamond_boots.png,
mcl_armor_inv_boots_gold.png,manual,gold_boots.png,items/gold_boots.png,
mcl_armor_inv_boots_iron.png,manual,iron_boots.png,items/iron_boots.png,
mcl_armor_inv_boots_leather.png,manual,leather_boots.png,items/leather_boots.png,
mcl_armor_inv_chestplate_chain.png,manual,chainmail_chestplate.png,items/chainmail_chestplate.png,
mcl_armor_inv_chestplate_diamond.png,manual,diamond_chestplate.png,items/diamond_chestplate.png,
mcl_armor_inv_chestplate_gold.png,manual,gold_chestplate.png,items/gold_chestplate.png,
mcl_armor_inv_chestplate_iron.png,manual,iron_chestplate.png,items/iron_chestplate.png,
mcl_armor_inv_chestplate_leather.png,manual,leather_chestplate.png,items/leather_chestplate.png,
